# [No.1] construct_wrapper.28
# In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(101)/    def construct(self, source_input, image_vec):/
funcgraph fg_28(
        %para1 : Tensor(F32)[4, 512, 1024]    # source_input
        , %para2 : Tensor(F32)[4, 640, 480, 3]    # image_vec
        , %para3 : Ref[Tensor(F32)][64, 3, 7, 7]    # resnet.conv1.weight
        , %para4 : Ref[Tensor(F32)][1024]    # reduce.bias
        , %para5 : Ref[Tensor(F32)][1024, 2048]    # reduce.weight
        , %para6 : Ref[Tensor(F32)][512]    # attn_dense.bias
        , %para7 : Ref[Tensor(F32)][512, 1024]    # attn_dense.weight
        , %para8 : Ref[Tensor(F32)][64]    # resnet.bn1.gamma
        , %para9 : Ref[Tensor(F32)][64]    # resnet.bn1.beta
        , %para10 : Ref[Tensor(F32)][64]    # resnet.bn1.moving_mean
        , %para11 : Ref[Tensor(F32)][64]    # resnet.bn1.moving_variance
        , %para12 : Ref[Tensor(F32)][1024]    # resnet.end_point.bias
        , %para13 : Ref[Tensor(F32)][1024, 2048]    # resnet.end_point.weight
        , %para14 : Ref[Tensor(F32)][512, 512, 3, 3]    # resnet.layer4.0.conv2.weight
        , %para15 : Ref[Tensor(F32)][512, 512, 3, 3]    # resnet.layer4.1.conv2.weight
        , %para16 : Ref[Tensor(F32)][512, 512, 3, 3]    # resnet.layer4.2.conv2.weight
        , %para17 : Ref[Tensor(F32)][512, 1024, 1, 1]    # resnet.layer4.0.conv1.weight
        , %para18 : Ref[Tensor(F32)][512, 2048, 1, 1]    # resnet.layer4.1.conv1.weight
        , %para19 : Ref[Tensor(F32)][512, 2048, 1, 1]    # resnet.layer4.2.conv1.weight
        , %para20 : Ref[Tensor(F32)][256, 256, 3, 3]    # resnet.layer3.0.conv2.weight
        , %para21 : Ref[Tensor(F32)][256, 256, 3, 3]    # resnet.layer3.1.conv2.weight
        , %para22 : Ref[Tensor(F32)][256, 256, 3, 3]    # resnet.layer3.2.conv2.weight
        , %para23 : Ref[Tensor(F32)][256, 256, 3, 3]    # resnet.layer3.3.conv2.weight
        , %para24 : Ref[Tensor(F32)][256, 256, 3, 3]    # resnet.layer3.4.conv2.weight
        , %para25 : Ref[Tensor(F32)][256, 256, 3, 3]    # resnet.layer3.5.conv2.weight
        , %para26 : Ref[Tensor(F32)][256, 512, 1, 1]    # resnet.layer3.0.conv1.weight
        , %para27 : Ref[Tensor(F32)][256, 1024, 1, 1]    # resnet.layer3.1.conv1.weight
        , %para28 : Ref[Tensor(F32)][256, 1024, 1, 1]    # resnet.layer3.2.conv1.weight
        , %para29 : Ref[Tensor(F32)][256, 1024, 1, 1]    # resnet.layer3.3.conv1.weight
        , %para30 : Ref[Tensor(F32)][256, 1024, 1, 1]    # resnet.layer3.4.conv1.weight
        , %para31 : Ref[Tensor(F32)][256, 1024, 1, 1]    # resnet.layer3.5.conv1.weight
        , %para32 : Ref[Tensor(F32)][128, 128, 3, 3]    # resnet.layer2.0.conv2.weight
        , %para33 : Ref[Tensor(F32)][128, 128, 3, 3]    # resnet.layer2.1.conv2.weight
        , %para34 : Ref[Tensor(F32)][128, 128, 3, 3]    # resnet.layer2.2.conv2.weight
        , %para35 : Ref[Tensor(F32)][128, 128, 3, 3]    # resnet.layer2.3.conv2.weight
        , %para36 : Ref[Tensor(F32)][512]    # resnet.layer4.0.bn2.gamma
        , %para37 : Ref[Tensor(F32)][512]    # resnet.layer4.0.bn2.beta
        , %para38 : Ref[Tensor(F32)][512]    # resnet.layer4.0.bn2.moving_mean
        , %para39 : Ref[Tensor(F32)][512]    # resnet.layer4.0.bn2.moving_variance
        , %para40 : Ref[Tensor(F32)][512]    # resnet.layer4.1.bn2.gamma
        , %para41 : Ref[Tensor(F32)][512]    # resnet.layer4.1.bn2.beta
        , %para42 : Ref[Tensor(F32)][512]    # resnet.layer4.1.bn2.moving_mean
        , %para43 : Ref[Tensor(F32)][512]    # resnet.layer4.1.bn2.moving_variance
        , %para44 : Ref[Tensor(F32)][512]    # resnet.layer4.2.bn2.gamma
        , %para45 : Ref[Tensor(F32)][512]    # resnet.layer4.2.bn2.beta
        , %para46 : Ref[Tensor(F32)][512]    # resnet.layer4.2.bn2.moving_mean
        , %para47 : Ref[Tensor(F32)][512]    # resnet.layer4.2.bn2.moving_variance
        , %para48 : Ref[Tensor(F32)][128, 256, 1, 1]    # resnet.layer2.0.conv1.weight
        , %para49 : Ref[Tensor(F32)][128, 512, 1, 1]    # resnet.layer2.1.conv1.weight
        , %para50 : Ref[Tensor(F32)][128, 512, 1, 1]    # resnet.layer2.2.conv1.weight
        , %para51 : Ref[Tensor(F32)][128, 512, 1, 1]    # resnet.layer2.3.conv1.weight
        , %para52 : Ref[Tensor(F32)][64, 64, 3, 3]    # resnet.layer1.0.conv2.weight
        , %para53 : Ref[Tensor(F32)][64, 64, 3, 3]    # resnet.layer1.1.conv2.weight
        , %para54 : Ref[Tensor(F32)][64, 64, 3, 3]    # resnet.layer1.2.conv2.weight
        , %para55 : Ref[Tensor(F32)][4096, 1024]    # seq2seq.weight_ih_l0
        , %para56 : Ref[Tensor(F32)][4096, 1024]    # seq2seq.weight_ih_l0_reverse
        , %para57 : Ref[Tensor(F32)][4096, 2048]    # seq2seq.weight_ih_l1
        , %para58 : Ref[Tensor(F32)][4096, 2048]    # seq2seq.weight_ih_l1_reverse
        , %para59 : Ref[Tensor(F32)][4096, 1024]    # seq2seq.weight_hh_l0
        , %para60 : Ref[Tensor(F32)][4096, 1024]    # seq2seq.weight_hh_l0_reverse
        , %para61 : Ref[Tensor(F32)][4096, 1024]    # seq2seq.weight_hh_l1
        , %para62 : Ref[Tensor(F32)][4096, 1024]    # seq2seq.weight_hh_l1_reverse
        , %para63 : Ref[Tensor(F32)][4096]    # seq2seq.bias_ih_l0
        , %para64 : Ref[Tensor(F32)][4096]    # seq2seq.bias_ih_l0_reverse
        , %para65 : Ref[Tensor(F32)][4096]    # seq2seq.bias_ih_l1
        , %para66 : Ref[Tensor(F32)][4096]    # seq2seq.bias_ih_l1_reverse
        , %para67 : Ref[Tensor(F32)][4096]    # seq2seq.bias_hh_l0
        , %para68 : Ref[Tensor(F32)][4096]    # seq2seq.bias_hh_l0_reverse
        , %para69 : Ref[Tensor(F32)][4096]    # seq2seq.bias_hh_l1
        , %para70 : Ref[Tensor(F32)][4096]    # seq2seq.bias_hh_l1_reverse
        , %para71 : Ref[Tensor(F32)][2048, 512, 1, 1]    # resnet.layer4.0.conv3.weight
        , %para72 : Ref[Tensor(F32)][512]    # resnet.layer4.0.bn1.gamma
        , %para73 : Ref[Tensor(F32)][512]    # resnet.layer4.0.bn1.beta
        , %para74 : Ref[Tensor(F32)][512]    # resnet.layer4.0.bn1.moving_mean
        , %para75 : Ref[Tensor(F32)][512]    # resnet.layer4.0.bn1.moving_variance
        , %para76 : Ref[Tensor(F32)][2048, 512, 1, 1]    # resnet.layer4.1.conv3.weight
        , %para77 : Ref[Tensor(F32)][512]    # resnet.layer4.1.bn1.gamma
        , %para78 : Ref[Tensor(F32)][512]    # resnet.layer4.1.bn1.beta
        , %para79 : Ref[Tensor(F32)][512]    # resnet.layer4.1.bn1.moving_mean
        , %para80 : Ref[Tensor(F32)][512]    # resnet.layer4.1.bn1.moving_variance
        , %para81 : Ref[Tensor(F32)][2048, 512, 1, 1]    # resnet.layer4.2.conv3.weight
        , %para82 : Ref[Tensor(F32)][512]    # resnet.layer4.2.bn1.gamma
        , %para83 : Ref[Tensor(F32)][512]    # resnet.layer4.2.bn1.beta
        , %para84 : Ref[Tensor(F32)][512]    # resnet.layer4.2.bn1.moving_mean
        , %para85 : Ref[Tensor(F32)][512]    # resnet.layer4.2.bn1.moving_variance
        , %para86 : Ref[Tensor(F32)][256]    # resnet.layer3.0.bn2.gamma
        , %para87 : Ref[Tensor(F32)][256]    # resnet.layer3.0.bn2.beta
        , %para88 : Ref[Tensor(F32)][256]    # resnet.layer3.0.bn2.moving_mean
        , %para89 : Ref[Tensor(F32)][256]    # resnet.layer3.0.bn2.moving_variance
        , %para90 : Ref[Tensor(F32)][256]    # resnet.layer3.1.bn2.gamma
        , %para91 : Ref[Tensor(F32)][256]    # resnet.layer3.1.bn2.beta
        , %para92 : Ref[Tensor(F32)][256]    # resnet.layer3.1.bn2.moving_mean
        , %para93 : Ref[Tensor(F32)][256]    # resnet.layer3.1.bn2.moving_variance
        , %para94 : Ref[Tensor(F32)][256]    # resnet.layer3.2.bn2.gamma
        , %para95 : Ref[Tensor(F32)][256]    # resnet.layer3.2.bn2.beta
        , %para96 : Ref[Tensor(F32)][256]    # resnet.layer3.2.bn2.moving_mean
        , %para97 : Ref[Tensor(F32)][256]    # resnet.layer3.2.bn2.moving_variance
        , %para98 : Ref[Tensor(F32)][256]    # resnet.layer3.3.bn2.gamma
        , %para99 : Ref[Tensor(F32)][256]    # resnet.layer3.3.bn2.beta
        , %para100 : Ref[Tensor(F32)][256]    # resnet.layer3.3.bn2.moving_mean
        , %para101 : Ref[Tensor(F32)][256]    # resnet.layer3.3.bn2.moving_variance
        , %para102 : Ref[Tensor(F32)][256]    # resnet.layer3.4.bn2.gamma
        , %para103 : Ref[Tensor(F32)][256]    # resnet.layer3.4.bn2.beta
        , %para104 : Ref[Tensor(F32)][256]    # resnet.layer3.4.bn2.moving_mean
        , %para105 : Ref[Tensor(F32)][256]    # resnet.layer3.4.bn2.moving_variance
        , %para106 : Ref[Tensor(F32)][256]    # resnet.layer3.5.bn2.gamma
        , %para107 : Ref[Tensor(F32)][256]    # resnet.layer3.5.bn2.beta
        , %para108 : Ref[Tensor(F32)][256]    # resnet.layer3.5.bn2.moving_mean
        , %para109 : Ref[Tensor(F32)][256]    # resnet.layer3.5.bn2.moving_variance
        , %para110 : Ref[Tensor(F32)][64, 64, 1, 1]    # resnet.layer1.0.conv1.weight
        , %para111 : Ref[Tensor(F32)][64, 256, 1, 1]    # resnet.layer1.1.conv1.weight
        , %para112 : Ref[Tensor(F32)][64, 256, 1, 1]    # resnet.layer1.2.conv1.weight
        , %para113 : Ref[Tensor(F32)][1024, 256, 1, 1]    # resnet.layer3.0.conv3.weight
        , %para114 : Ref[Tensor(F32)][256]    # resnet.layer3.0.bn1.gamma
        , %para115 : Ref[Tensor(F32)][256]    # resnet.layer3.0.bn1.beta
        , %para116 : Ref[Tensor(F32)][256]    # resnet.layer3.0.bn1.moving_mean
        , %para117 : Ref[Tensor(F32)][256]    # resnet.layer3.0.bn1.moving_variance
        , %para118 : Ref[Tensor(F32)][1024, 256, 1, 1]    # resnet.layer3.1.conv3.weight
        , %para119 : Ref[Tensor(F32)][256]    # resnet.layer3.1.bn1.gamma
        , %para120 : Ref[Tensor(F32)][256]    # resnet.layer3.1.bn1.beta
        , %para121 : Ref[Tensor(F32)][256]    # resnet.layer3.1.bn1.moving_mean
        , %para122 : Ref[Tensor(F32)][256]    # resnet.layer3.1.bn1.moving_variance
        , %para123 : Ref[Tensor(F32)][1024, 256, 1, 1]    # resnet.layer3.2.conv3.weight
        , %para124 : Ref[Tensor(F32)][256]    # resnet.layer3.2.bn1.gamma
        , %para125 : Ref[Tensor(F32)][256]    # resnet.layer3.2.bn1.beta
        , %para126 : Ref[Tensor(F32)][256]    # resnet.layer3.2.bn1.moving_mean
        , %para127 : Ref[Tensor(F32)][256]    # resnet.layer3.2.bn1.moving_variance
        , %para128 : Ref[Tensor(F32)][1024, 256, 1, 1]    # resnet.layer3.3.conv3.weight
        , %para129 : Ref[Tensor(F32)][256]    # resnet.layer3.3.bn1.gamma
        , %para130 : Ref[Tensor(F32)][256]    # resnet.layer3.3.bn1.beta
        , %para131 : Ref[Tensor(F32)][256]    # resnet.layer3.3.bn1.moving_mean
        , %para132 : Ref[Tensor(F32)][256]    # resnet.layer3.3.bn1.moving_variance
        , %para133 : Ref[Tensor(F32)][1024, 256, 1, 1]    # resnet.layer3.4.conv3.weight
        , %para134 : Ref[Tensor(F32)][256]    # resnet.layer3.4.bn1.gamma
        , %para135 : Ref[Tensor(F32)][256]    # resnet.layer3.4.bn1.beta
        , %para136 : Ref[Tensor(F32)][256]    # resnet.layer3.4.bn1.moving_mean
        , %para137 : Ref[Tensor(F32)][256]    # resnet.layer3.4.bn1.moving_variance
        , %para138 : Ref[Tensor(F32)][1024, 256, 1, 1]    # resnet.layer3.5.conv3.weight
        , %para139 : Ref[Tensor(F32)][256]    # resnet.layer3.5.bn1.gamma
        , %para140 : Ref[Tensor(F32)][256]    # resnet.layer3.5.bn1.beta
        , %para141 : Ref[Tensor(F32)][256]    # resnet.layer3.5.bn1.moving_mean
        , %para142 : Ref[Tensor(F32)][256]    # resnet.layer3.5.bn1.moving_variance
        , %para143 : Ref[Tensor(F32)][128]    # resnet.layer2.0.bn2.gamma
        , %para144 : Ref[Tensor(F32)][128]    # resnet.layer2.0.bn2.beta
        , %para145 : Ref[Tensor(F32)][128]    # resnet.layer2.0.bn2.moving_mean
        , %para146 : Ref[Tensor(F32)][128]    # resnet.layer2.0.bn2.moving_variance
        , %para147 : Ref[Tensor(F32)][128]    # resnet.layer2.1.bn2.gamma
        , %para148 : Ref[Tensor(F32)][128]    # resnet.layer2.1.bn2.beta
        , %para149 : Ref[Tensor(F32)][128]    # resnet.layer2.1.bn2.moving_mean
        , %para150 : Ref[Tensor(F32)][128]    # resnet.layer2.1.bn2.moving_variance
        , %para151 : Ref[Tensor(F32)][128]    # resnet.layer2.2.bn2.gamma
        , %para152 : Ref[Tensor(F32)][128]    # resnet.layer2.2.bn2.beta
        , %para153 : Ref[Tensor(F32)][128]    # resnet.layer2.2.bn2.moving_mean
        , %para154 : Ref[Tensor(F32)][128]    # resnet.layer2.2.bn2.moving_variance
        , %para155 : Ref[Tensor(F32)][128]    # resnet.layer2.3.bn2.gamma
        , %para156 : Ref[Tensor(F32)][128]    # resnet.layer2.3.bn2.beta
        , %para157 : Ref[Tensor(F32)][128]    # resnet.layer2.3.bn2.moving_mean
        , %para158 : Ref[Tensor(F32)][128]    # resnet.layer2.3.bn2.moving_variance
        , %para159 : Ref[Tensor(F32)][512, 128, 1, 1]    # resnet.layer2.0.conv3.weight
